Content,Sentiment,User name,Theme
"#Máy lọc nước A.O.Smith hiện đang có bán tại TT Điện Máy Vinpro trong khu TTTM Vincom 910A- Ngô Quyền -Quận Sơn Trà -Đà Nẵng.
☎️Liên hệ Ms Vân 0⃣9⃣0⃣5⃣8⃣0⃣2⃣8⃣8⃣7⃣để được tư vấn thêm hoặc quý khách có nhu cầu hãy để lại sđt , nhân viên của hãng sẽ liên hệ với quý khách trong thời gian gần nhất.
###TÍCH THẺ #% và được tặng 1 dù cao cấp trị giá 250k từ ngày 18/3 đến 15/4/2017 khi mua bất kì sp của máy lọc nước A.O .Smith tại Vinpro .

http://aosmith.com.vn/may-loc-nuoc/.",Neutral,Van Dang,marketing/pr
"đôi khi tình yêu vẫn thế, yêu nhau chỉ vì yêu nhau",Neutral,Tạ Đăng Đức,khác
Lan Bướng 's Bỉnh's yêu nhau chỉ vì yêu nhau,Neutral,Tạ Đăng Đức,khác
có phải một chiếc CD hok ạ <3 <3 <3 <3,Neutral,Nguyễn Thư,khác
Những mùa đông yêu dấu - Danh ca Thu Phương,Neutral,Phượng- Jessica,khác
MV YÊU THÍCH NHẤT - NHỮNG MÙA ĐÔNG YÊU DẤU - THU PHƯƠNG,Neutral,Phượng- Jessica,khác
Mv được yêu mến nhất tháng ba❤️,Neutral,Phuong-Anh Pham,khác
# Thu Phuong - Những mùa đông yêu dấu,Neutral,Linh Phương,khác
Những mùa đông yêu dấu-danh ca Thu Phương❤️,Neutral,Phuong-Anh Pham,khác
Những mùa đông yêu dấu - Thu Phương,Neutral,Quỳnh Mai,khác
Mới chỉ là tiết mục hé lộ món quà thôi # Tiết mục nhận quà lại  màn sau Ad nhỉ ❤️,Neutral,Phượng- Jessica,khác
"Vé gala mv yêu thích "" những mùa đông yêu dấu "" #❤️",Neutral,Phượng- Jessica,khác
Vé mời gì đó ạ??? E thấy chữ danh ca###,Neutral,Phuong-Anh Pham,khác
Gửi bạn bảng giá lõi. Cần tư vấn bạn vui lòng để lại số điện thoại hoặc gọi cho chúng tôi theo số 1800-1228. Cám ơn bạn.,Neutral,A.O.Smith Việt Nam,trả lời giá
Minh muon thay loi loc so 1-2-3 may RO AR75 A S 1E thi het bao nhieu tien?,Positive,Jul LE,báo giá
đúng ạ. Danh hiệu là điều ko qt. qt là sức lan tỏa tình yêu <3,Positive,Quoc-Huy Tran,khác
Rất thích giọng hát của Yến Lê trong bài này <3,Positive,Vũ Kiều Mai,khác
Yêu nhau chỉ vì yêu nhau <3,Neutral,Nguyễn Quốc Việt,khác
"Mình thấy bản phối này nghe rất hay, vẫn giữ được ý tưởng của tác giả và mang hơi thở hiện đại (Y). Luôn ủng hộ MV Yêu Thích",Neutral,Nguyễn Quốc Việt,khác
"""Chuyện tình thảo nguyên"", ca khúc mới nhất trong chương trình MV Yêu Thích đang thu hút được sự quan tâm rất lớn nhờ những khung hình nên thơ và câu chuyện tình yêu lãng mạn trên /của miền thảo nguyên bát ngát.#

# Hãy cùng A.O.Smith Việt Nam thưởng thức những khung cảnh kì vĩ tuyệt vời trong ca khúc đáng yêu này bạn nhé.",Neutral,A.O.Smith Việt Nam,marketing/pr
